tps	qps	lat-95
1372.38	21985.52	33.12
1377.45	22040.75	33.72
1432.60	22915.90	31.37
1425.80	22815.86	33.12
1422.50	22762.45	31.94
1420.30	22723.62	33.12
1437.90	23009.47	31.94
1430.10	22880.50	31.37
1408.20	22534.93	33.72
1444.41	23105.84	31.37
1428.89	22857.38	31.37
1424.00	22785.31	33.12
1450.19	23203.02	31.37
1534.00	24547.94	28.67
1564.99	25035.19	27.17
1562.39	25000.88	26.68
1563.51	25012.80	28.16
1574.40	25197.33	27.66
1570.00	25118.70	27.17
1565.50	25048.84	27.66
1575.40	25204.77	27.66
1576.60	25222.21	27.66
1568.50	25095.69	27.66
1583.00	25333.16	26.68
1577.00	25229.97	27.66
1572.10	25151.67	27.17
1584.50	25357.87	26.20
1572.70	25158.78	27.66
1577.20	25235.86	27.66
1575.60	25210.61	27.17
1578.10	25248.70	26.68
1571.60	25148.62	26.68
1577.11	25233.09	27.17
1581.69	25301.81	27.17
1576.80	25229.10	26.68
1573.80	25180.26	27.66
1575.50	25214.70	27.17
1573.40	25167.31	27.17
1578.31	25255.53	27.17
1581.19	25302.45	27.66
1575.10	25197.77	26.68
1578.50	25256.43	27.17
1577.80	25245.79	26.68
1574.91	25194.71	27.66
1574.00	25190.43	27.66
1575.90	25206.68	27.17
1576.80	25235.17	27.17
1579.70	25275.67	27.17
1582.50	25317.28	26.68
1573.50	25180.69	26.68
1577.00	25225.08	27.17
1573.00	25170.13	27.17
1574.90	25193.18	27.17
1582.00	25318.25	26.68
1570.20	25120.78	27.66
1571.00	25141.99	27.17
1581.90	25304.31	27.17
1573.40	25173.02	27.17
1572.39	25162.22	27.17
1580.91	25292.00	27.17
