0	LOCK
4.0K	004769.sst
4.0K	CURRENT
4.0K	IDENTITY
20K	OPTIONS-000011
20K	OPTIONS-000013
24K	019434.sst
24K	023990.sst
52K	024229.sst
64K	024200.sst
132K	024086.sst
152K	008376.sst
196K	007828.sst
196K	008786.sst
196K	009024.sst
196K	010221.sst
196K	010915.sst
196K	012720.sst
196K	012788.sst
196K	013835.sst
196K	014003.sst
196K	014145.sst
196K	015055.sst
196K	015363.sst
196K	016552.sst
196K	016617.sst
196K	016688.sst
196K	017490.sst
196K	018360.sst
196K	018399.sst
196K	018458.sst
196K	018523.sst
196K	019470.sst
196K	019672.sst
196K	019725.sst
196K	019783.sst
196K	019831.sst
196K	020312.sst
196K	020339.sst
196K	020376.sst
196K	020409.sst
196K	020454.sst
196K	020491.sst
196K	020600.sst
196K	020648.sst
196K	020725.sst
196K	020779.sst
196K	020861.sst
196K	020905.sst
196K	021829.sst
196K	021954.sst
196K	022011.sst
196K	022132.sst
196K	022207.sst
196K	023148.sst
196K	023353.sst
196K	023414.sst
196K	023533.sst
196K	023631.sst
196K	023675.sst
196K	023723.sst
196K	023775.sst
196K	023803.sst
196K	023843.sst
196K	023852.sst
196K	023870.sst
196K	023950.sst
196K	024002.sst
196K	024096.sst
200K	008845.sst
200K	010868.sst
200K	011844.sst
200K	012533.sst
200K	012649.sst
200K	015414.sst
200K	015437.sst
200K	020534.sst
200K	023891.sst
200K	024072.sst
204K	008732.sst
204K	008899.sst
204K	010891.sst
204K	013862.sst
204K	013917.sst
204K	017529.sst
204K	023018.sst
204K	023121.sst
204K	023573.sst
204K	023829.sst
204K	023973.sst
204K	024051.sst
208K	008951.sst
208K	012591.sst
208K	014071.sst
208K	016209.sst
208K	019624.sst
208K	020995.sst
208K	022070.sst
208K	023482.sst
208K	024014.sst
208K	024022.sst
208K	024030.sst
208K	024038.sst
208K	024114.sst
208K	024145.sst
208K	024179.sst
208K	024207.sst
212K	024093.sst
216K	023914.sst
360K	024083.log
408K	008554.sst
440K	020780.sst
496K	021857.sst
732K	017968.sst
796K	016809.sst
880K	012486.sst
880K	013984.sst
936K	023322.sst
1.1M	020805.sst
1.1M	021997.sst
1.3M	018107.sst
1.5M	019447.sst
1.5M	022774.sst
1.7M	008659.sst
1.9M	020356.sst
2.0M	012791.sst
2.0M	018217.sst
2.1M	012616.sst
2.1M	022606.sst
2.1M	023981.sst
2.2M	008792.sst
2.2M	012334.sst
2.2M	021590.sst
2.2M	021978.sst
2.2M	024109.log
2.3M	009173.sst
2.3M	019968.sst
2.3M	020346.sst
2.3M	021802.sst
2.3M	022137.sst
2.3M	022751.sst
2.3M	023979.sst
2.3M	023985.sst
2.3M	024199.sst
2.4M	016347.sst
2.4M	016471.sst
2.4M	017578.sst
2.4M	024194.sst
2.5M	009781.sst
2.5M	011938.sst
2.5M	016665.sst
2.5M	021558.sst
2.5M	021994.sst
2.5M	024196.sst
2.6M	011759.sst
2.6M	020939.sst
2.6M	021807.sst
2.6M	023131.sst
2.6M	024195.sst
2.7M	012472.sst
2.8M	012200.sst
2.8M	018108.sst
2.9M	008667.sst
2.9M	008673.sst
2.9M	011775.sst
2.9M	024197.sst
3.0M	018901.sst
3.0M	021801.sst
3.0M	022917.sst
3.1M	021318.sst
3.1M	024188.sst
3.2M	008696.sst
3.2M	024189.sst
3.4M	008653.sst
3.4M	013947.sst
3.4M	013960.sst
3.4M	023132.sst
3.5M	005348.sst
3.5M	005352.sst
3.5M	005375.sst
3.5M	006098.sst
3.5M	006132.sst
3.5M	008071.sst
3.5M	008291.sst
3.6M	005717.sst
3.6M	006122.sst
3.7M	004227.sst
3.7M	015728.sst
3.7M	020219.sst
3.8M	005702.sst
3.8M	005743.sst
3.8M	005886.sst
3.8M	005894.sst
3.8M	006302.sst
3.8M	006330.sst
3.8M	006536.sst
3.8M	008682.sst
3.8M	019402.sst
3.9M	006356.sst
3.9M	012596.sst
3.9M	021980.sst
4.0M	005711.sst
4.0M	006345.sst
4.0M	006548.sst
4.0M	006551.sst
4.0M	006562.sst
4.0M	006573.sst
4.0M	006574.sst
4.0M	011400.sst
4.0M	011937.sst
4.0M	011939.sst
4.0M	016680.sst
4.0M	022275.sst
4.0M	022895.sst
4.0M	023456.sst
4.0M	024193.sst
4.0M	MANIFEST-000004
4.1M	007966.sst
4.1M	008530.sst
4.1M	010398.sst
4.1M	012618.sst
4.1M	013959.sst
4.1M	020638.sst
4.1M	023447.sst
4.1M	024190.sst
4.1M	024198.sst
4.2M	006822.sst
4.2M	008510.sst
4.2M	013970.sst
4.3M	006312.sst
4.3M	006362.sst
4.3M	006545.sst
4.3M	006549.sst
4.3M	006824.sst
4.3M	008536.sst
4.3M	013571.sst
4.4M	007812.sst
4.4M	008669.sst
4.4M	008728.sst
4.4M	008779.sst
4.4M	008839.sst
4.4M	008896.sst
4.4M	008949.sst
4.4M	009018.sst
4.4M	010214.sst
4.4M	010866.sst
4.4M	010889.sst
4.4M	010913.sst
4.4M	011790.sst
4.4M	011838.sst
4.4M	012529.sst
4.4M	012585.sst
4.4M	012643.sst
4.4M	012715.sst
4.4M	012784.sst
4.4M	013833.sst
4.4M	013857.sst
4.4M	013911.sst
4.4M	013998.sst
4.4M	014066.sst
4.4M	014140.sst
4.4M	015051.sst
4.4M	015178.sst
4.4M	015356.sst
4.4M	015406.sst
4.4M	015430.sst
4.4M	016206.sst
4.4M	016550.sst
4.4M	016614.sst
4.4M	016682.sst
4.4M	017482.sst
4.4M	017522.sst
4.4M	018353.sst
4.4M	018394.sst
4.4M	018453.sst
4.4M	018515.sst
4.4M	019433.sst
4.4M	019468.sst
4.4M	019620.sst
4.4M	019666.sst
4.4M	019720.sst
4.4M	019774.sst
4.4M	019826.sst
4.4M	020308.sst
4.4M	020332.sst
4.4M	020374.sst
4.4M	020402.sst
4.4M	020448.sst
4.4M	020482.sst
4.4M	020528.sst
4.4M	020596.sst
4.4M	020646.sst
4.4M	020720.sst
4.4M	020775.sst
4.4M	020856.sst
4.4M	020902.sst
4.4M	020986.sst
4.4M	021827.sst
4.4M	021948.sst
4.4M	022002.sst
4.4M	022066.sst
4.4M	022129.sst
4.4M	022201.sst
4.4M	023015.sst
4.4M	023119.sst
4.4M	023146.sst
4.4M	023348.sst
4.4M	023410.sst
4.4M	023479.sst
4.4M	023531.sst
4.4M	023568.sst
4.4M	023627.sst
4.4M	023669.sst
4.4M	023720.sst
4.4M	023771.sst
4.4M	023799.sst
4.4M	023827.sst
4.4M	023841.sst
4.4M	023850.sst
4.4M	023868.sst
4.4M	023885.sst
4.4M	023909.sst
4.4M	023946.sst
4.4M	023971.sst
4.4M	024000.sst
4.4M	024012.sst
4.4M	024020.sst
4.4M	024028.sst
4.4M	024036.sst
4.4M	024049.sst
4.4M	024068.sst
4.4M	024090.sst
4.4M	024108.sst
4.4M	024141.sst
4.4M	024175.sst
4.4M	024205.sst
4.5M	006301.sst
4.5M	006353.sst
4.5M	006550.sst
4.5M	006561.sst
4.5M	006575.sst
4.5M	006812.sst
4.5M	006827.sst
4.5M	007965.sst
4.6M	015167.sst
4.6M	022299.sst
4.7M	004242.sst
4.7M	004277.sst
4.7M	023127.sst
4.7M	023128.sst
4.8M	006823.sst
4.8M	006841.sst
4.8M	007093.sst
4.8M	008276.sst
4.8M	008637.sst
4.8M	008660.sst
4.8M	013688.sst
4.8M	014895.sst
4.8M	019707.sst
4.8M	019835.sst
4.8M	019839.sst
4.8M	019998.sst
4.8M	021604.sst
4.9M	006840.sst
4.9M	007405.sst
4.9M	008083.sst
4.9M	008210.sst
4.9M	008216.sst
4.9M	008250.sst
4.9M	008338.sst
4.9M	008351.sst
4.9M	008580.sst
4.9M	012480.sst
4.9M	013312.sst
4.9M	018329.sst
5.0M	006149.sst
5.0M	006817.sst
5.0M	006830.sst
5.0M	007393.sst
5.0M	007396.sst
5.0M	007406.sst
